assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1431.5148,677.7119,-47.96875,90,Apartments,xiELO,76561198141272052,t,false,false,ct,5.9409456,1,45,0,false,chest,false,false,0,0,t,false,56689,-1583.4725,854.6526,-15.980164,16,Apartments,max,76561198242950384,ct,deagle,17293822569105129473,51518638862,"",0,4
false,,,,,,,,,-2140.6973,831.9156,-123.20923,100,Truck,luchov,76561198067722198,ct,false,false,ct,2.690988,5,34,0,false,stomach,false,false,0,0,t,false,56970,-2070.7864,821.86487,-44.27118,34,Apartments,xiELO,76561198141272052,t,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,-1934.3048,764.6734,-47.96875,100,Apartments,HObbit,76561198028292758,t,false,false,ct,6.521044,16,110,0,true,head,false,false,0,0,t,false,57233,-2175.4502,803.0238,-126.24994,52,Truck,luchov,76561198067722198,ct,ak47,17293822569146941447,39085812900,"",0,4
false,,,,,,,,,-2165.1897,-198.20056,-167.24042,100,BombsiteB,dgt,76561198216891576,ct,false,false,ct,24.787605,18,87,0,true,head,false,false,0,0,t,false,57253,-1934.818,741.38904,-47.96875,79,Apartments,HObbit,76561198028292758,t,m4a1,17293822569122955280,51508198279,"",0,4
false,,,,,,,,,-2142.199,-115.969604,-168.03864,47,BombsiteB,dgt,76561198216891576,ct,false,false,ct,22.125965,4,21,0,false,chest,false,false,0,0,t,false,57487,-1969.1371,729.2864,-47.96875,7,Apartments,Jame,76561198036125584,t,m4a1,17293822569122955280,51508198279,"",0,4
false,,,,,,,,,-2267.7295,549.83307,-161.84564,100,BombsiteB,zweih,76561198210626739,t,false,false,ct,28.594461,15,106,0,true,head,false,false,0,0,t,false,57586,-2300.641,-575.42456,-167.96875,100,Shop,meyern,76561198195642865,ct,ak47,17293822569114501127,52403717539,"",0,4
false,-1969.1371,729.2864,-47.96875,0.0,Apartments,Jame,76561198036125584,t,-1695.7223,742.2519,-47.96875,100,Apartments,zweih,76561198210626739,t,false,false,ct,23.84022,15,107,0,true,head,false,false,0,0,t,false,58093,-2350.038,80.600716,-161.56482,47,BombsiteB,dgt,76561198216891576,ct,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,-2539.1052,332.47113,-167.96875,5,BombsiteB,zweih,76561198210626739,t,false,false,ct,33.693302,4,33,0,false,stomach,false,false,0,0,t,false,59188,-1227.5814,133.55821,-168.86548,28,Catwalk,HUASOPEEK,76561198319723208,ct,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,-622.7296,-345.18713,-160.5304,100,Catwalk,HObbit,76561198028292758,t,false,false,ct,22.620872,4,33,0,false,stomach,false,false,0,0,t,true,62010,-647.8959,-1235.1698,-167.96875,33,Connector,dgt,76561198216891576,ct,ak47,17293822569170534407,26522352291,"",0,5
false,-1929.192,615.4799,-167.96875,100.0,BombsiteB,max,76561198242950384,ct,-1248.2621,409.44214,-167.96875,100,Catwalk,luchov,76561198067722198,ct,false,false,ct,14.925149,5,24,0,false,chest,false,false,0,0,t,false,62279,-1830.9374,485.4223,-167.96875,22,BombsiteB,zweih,76561198210626739,t,m4a1_silencer,17293822569167192124,52258558415,"",0,5
false,,,,,,,,,-1561.38,797.977,-47.96875,100,Apartments,Jame,76561198036125584,t,false,false,ct,37.852924,1,108,0,false,chest,false,false,0,0,t,false,62411,-2002.3698,-621.9004,-167.96875,100,Shop,meyern,76561198195642865,ct,awp,17293822569102704649,0,"",0,5
false,,,,,,,,,215.65578,-350.21954,-167.13556,19,TopofMid,luchov,76561198067722198,ct,false,false,ct,15.560553,4,19,0,false,chest,false,false,0,0,t,false,74958,288.803,251.89813,-261.31104,1,SideAlley,HObbit,76561198028292758,t,famas,17293822569102704650,0,"",0,6
false,-1017.95026,-2332.8381,-167.96875,100.0,CTSpawn,dgt,76561198216891576,ct,-629.6519,-2400.0522,-167.96875,19,BombsiteA,luchov,76561198067722198,ct,false,false,ct,20.231342,4,19,0,false,chest,false,false,0,0,t,true,77936,85.29585,-2073.6836,-39.96875,1,PalaceInterior,xiELO,76561198141272052,t,famas,17293822569102704650,0,"",0,6
false,-629.57886,-2400.218,-167.96875,19.0,BombsiteA,luchov,76561198067722198,ct,28.501278,-1951.4485,-167.96875,100,BombsiteA,HUASOPEEK,76561198319723208,ct,false,false,ct,8.098729,4,22,0,false,chest,false,false,0,0,t,false,77937,-144.19507,-2219.1216,-167.96875,10,BombsiteA,slaxejezzz,76561198356252021,t,m4a1,17293822569102704656,0,"",0,6
false,,,,,,,,,-877.7794,-1381.9961,-167.96875,100,Jungle,meyern,76561198195642865,ct,false,false,ct,29.848001,1,109,0,false,chest,false,false,0,0,t,false,78004,68.84942,-2060.5095,-39.96875,100,PalaceInterior,zweih,76561198210626739,t,awp,17293822569120989193,45150629644,"",0,6
false,,,,,,,,,-862.04114,-422.98376,-163.07996,100,Underpass,max,76561198242950384,ct,false,false,ct,13.304812,15,109,0,true,head,false,false,0,0,t,false,88955,-479.28186,-764.68176,-258.83923,19,Middle,zweih,76561198210626739,t,ak47,17293822569144582151,52467896681,"",0,7
false,,,,,,,,,50.40163,-1431.3513,-174.60876,12,PalaceInterior,HUASOPEEK,76561198319723208,ct,false,false,ct,11.966073,15,109,0,true,head,false,false,0,0,t,false,89079,23.368149,-1884.737,-39.96875,46,Scaffolding,HObbit,76561198028292758,t,ak47,17293822569170534407,26522352291,"",0,7
false,23.077166,-1884.7207,-39.96875,0.0,Scaffolding,HObbit,76561198028292758,t,-18.914429,-1894.0948,-39.96875,100,Scaffolding,slaxejezzz,76561198356252021,t,false,false,ct,12.664199,3,27,0,false,chest,false,false,0,0,t,false,89194,110.66876,-1434.4978,-175.96875,12,PalaceInterior,HUASOPEEK,76561198319723208,ct,ak47,17293822569144582151,52467896681,"",0,7
false,,,,,,,,,-709.3859,-2201.6355,-179.96875,100,BombsiteA,meyern,76561198195642865,ct,false,false,ct,19.52634,1,138,0,false,stomach,false,false,0,0,t,false,89197,-17.954407,-1890.9749,-39.96875,100,Scaffolding,slaxejezzz,76561198356252021,t,awp,17293822569120989193,45150629644,"",0,7
false,,,,,,,,,-781.2557,-918.63715,-167.96875,100,Connector,meyern,76561198195642865,ct,false,false,ct,36.90147,5,435,0,true,head,false,false,0,0,t,false,94162,399.17325,-72.6272,-182.94275,84,TopofMid,Jame,76561198036125584,t,awp,17293822569120989193,45150629644,"",0,8
false,,,,,,,,,396.95358,180.35051,-249.72882,84,SideAlley,dgt,76561198216891576,ct,false,false,ct,8.337248,9,62,0,true,head,false,false,1,0,t,false,97001,408.98526,503.356,-263.2079,41,SideAlley,HObbit,76561198028292758,t,ak47,17293822569114501127,52403717539,"",0,8
false,-2494.553,220.03172,-167.7666,100.0,BombsiteB,max,76561198242950384,ct,-894.64557,-458.14612,-93.96875,100,Catwalk,luchov,76561198067722198,ct,false,false,ct,6.5207996,16,110,0,true,head,false,false,0,0,t,false,97603,-1027.6371,-549.7866,-287.96875,34,Middle,xiELO,76561198141272052,t,ak47,17293822569163063303,50929720047,"",0,8
true,-888.6452,-2301.63,-168.6388,100.0,BombsiteA,HUASOPEEK,76561198319723208,ct,-799.9239,-916.2116,-167.96875,100,Middle,meyern,76561198195642865,ct,false,false,ct,30.952333,1,109,0,false,chest,false,false,0,0,t,true,104629,193.98076,-216.6206,-79.9375,100,TopofMid,Jame,76561198036125584,t,awp,17293822569120989193,45150629644,"",0,9
false,-1033.6323,-716.3245,-209.9375,71.0,Middle,zweih,76561198210626739,t,-1039.9619,-698.1674,-263.96875,90,Middle,xiELO,76561198141272052,t,false,false,ct,10.660662,13,91,0,true,head,false,false,0,0,t,false,107652,-892.8223,-321.5454,-166.16858,46,Underpass,luchov,76561198067722198,ct,galilar,17293822569116860429,49363953501,"",0,9
false,,,,,,,,,-689.1993,-1080.54,-191.69507,100,Connector,dgt,76561198216891576,ct,false,false,ct,18.78813,3,27,0,false,chest,false,false,0,0,t,true,107931,-520.3264,-360.88806,-167.3125,19,Catwalk,HObbit,76561198028292758,t,ak47,17293822569114501127,52403717539,"",0,9
false,,,,,,,,,-2216.2612,-240.00012,-163.98212,71,BombsiteB,zweih,76561198210626739,t,false,false,ct,23.280832,3,26,0,false,chest,false,false,0,0,t,false,109010,-1930.6954,629.95624,-167.96875,24,BombsiteB,max,76561198242950384,ct,ak47,17293822569170534407,26522352291,"",0,9
false,,,,,,,,,-1872.0377,-304.0589,-167.96875,100,Shop,dgt,76561198216891576,ct,false,false,ct,7.1655827,2,14,0,false,chest,false,false,1,0,t,false,109787,-2124.9727,-181.27783,-168.28564,1,BombsiteB,zweih,76561198210626739,t,ak47,17293822569114501127,52403717539,"",0,9
false,,,,,,,,,-1890.2737,629.05884,-167.96875,57,BombsiteB,xiELO,76561198141272052,t,false,false,ct,18.73888,13,90,0,true,head,false,false,0,0,t,false,110278,-2160.1648,-57.433167,-167.94641,44,BombsiteB,HUASOPEEK,76561198319723208,ct,galilar,17293822569116860429,49363953501,"",0,9
false,,,,,,,,,-1755.0999,630.06696,-168.18335,57,BombsiteB,xiELO,76561198141272052,t,false,false,ct,21.501694,13,89,0,true,head,false,false,0,0,t,false,110379,-1810.1929,-214.56018,-167.86505,78,BombsiteB,dgt,76561198216891576,ct,galilar,17293822569116860429,49363953501,"",0,9
false,,,,,,,,,228.83661,-313.08386,-167.27222,100,TopofMid,HObbit,76561198028292758,t,false,false,ct,26.389664,15,107,0,true,head,false,false,0,0,t,true,118363,-666.91907,-835.3326,-256.78125,100,Middle,dgt,76561198216891576,ct,ak47,17293822569114501127,52403717539,"",0,10
false,,,,,,,,,35.681026,-2303.082,-39.96875,99,PalaceInterior,HUASOPEEK,76561198319723208,ct,false,false,ct,12.213779,19,89,0,true,head,false,false,0,0,t,false,120016,511.02875,-2243.9722,-39.96875,78,PalaceInterior,slaxejezzz,76561198356252021,t,m4a1,17293822569191374864,52159726433,"",0,10
false,,,,,,,,,303.5885,-1527.1818,-175.96875,100,TRamp,xiELO,76561198141272052,t,false,false,ct,19.196947,3,27,0,false,chest,false,false,0,0,t,false,120112,-437.6079,-1530.9366,-39.96875,21,Stairs,luchov,76561198067722198,ct,ak47,17293822569163063303,50929720047,"",0,10
false,,,,,,,,,-450.91113,-2308.8352,-167.96875,100,BombsiteA,meyern,76561198195642865,ct,false,false,ct,28.416426,1,137,0,false,stomach,false,false,0,0,t,false,120504,-667.75726,-1211.0292,-167.96875,100,Connector,HObbit,76561198028292758,t,awp,17293822569120989193,45150629644,"",0,10
false,,,,,,,,,-820.7749,-1306.7377,-167.96875,100,Jungle,zweih,76561198210626739,t,false,false,ct,27.130514,15,106,0,true,head,false,false,0,0,t,false,120505,-450.92383,-2308.838,-167.96875,100,BombsiteA,meyern,76561198195642865,ct,ak47,17293822569144582151,52467896681,"",0,10
false,,,,,,,,,98.52657,-2046.693,-167.96875,95,PalaceInterior,HUASOPEEK,76561198319723208,ct,false,false,ct,29.54005,0,23,0,false,right_leg,false,false,0,0,t,false,120618,-904.93146,-1458.771,-167.96875,14,Jungle,zweih,76561198210626739,t,m4a1,17293822569191374864,52159726433,"",0,10
false,,,,,,,,,-138.33704,-1789.0354,-167.96875,60,BombsiteA,xiELO,76561198141272052,t,false,false,ct,9.179775,15,110,0,true,head,false,false,0,0,t,false,120711,106.90493,-2054.4465,-167.96875,95,PalaceInterior,HUASOPEEK,76561198319723208,ct,ak47,17293822569163063303,50929720047,"",0,10
false,106.99092,-2054.3652,-167.96875,0.0,PalaceInterior,HUASOPEEK,76561198319723208,ct,-1049.5743,-2400.374,-167.96875,100,CTSpawn,max,76561198242950384,ct,false,false,ct,25.58563,4,21,0,false,right_arm,false,false,0,0,t,false,120847,-145.93555,-1956.2269,-114.125,17,BombsiteA,xiELO,76561198141272052,t,m4a1,17293822569134161936,10901627135,"",0,10
false,,,,,,,,,-705.5735,-928.49963,-219.71521,18,Middle,Jame,76561198036125584,t,false,false,ct,28.811203,5,438,0,true,head,false,false,0,0,t,false,122814,-437.9519,-2030.427,-179.96875,100,BombsiteA,max,76561198242950384,ct,awp,17293822569102704649,0,"",0,10
false,,,,,,,,,-783.63074,-1232.7598,-167.96875,98,Connector,dgt,76561198216891576,ct,false,false,ct,4.509758,4,22,0,false,chest,false,false,0,0,t,true,131172,-756.62213,-1057.9958,-167.96875,13,Connector,zweih,76561198210626739,t,m4a1,17293822569122955280,51508198279,"",0,11
false,,,,,,,,,-27.233032,-1676.1473,-167.96875,18,BombsiteA,luchov,76561198067722198,ct,false,false,ct,8.709271,19,88,0,true,head,false,false,0,0,t,false,132825,275.7798,-1516.6378,-175.96875,70,TRamp,HObbit,76561198028292758,t,m4a1_silencer,17293822569167192124,52258558415,"",0,11
false,,,,,,,,,-1763.84,698.0035,-47.96875,100,Apartments,xiELO,76561198141272052,t,false,false,ct,15.006191,20,30,0,false,generic,false,false,0,0,t,false,133068,-1269.7137,400.63156,-167.96875,29,BombsiteB,max,76561198242950384,ct,hegrenade,"","","",0,11
false,,,,,,,,,-2388.3254,619.35254,-78.96875,100,BombsiteB,meyern,76561198195642865,ct,false,false,ct,21.158524,1,110,0,false,chest,false,false,0,0,t,false,133497,-1569.5223,771.9788,-47.96875,100,Apartments,Jame,76561198036125584,t,awp,17293822569116598281,51625669407,"",0,11
false,,,,,,,,,-2204.8472,709.153,-39.71875,100,Truck,xiELO,76561198141272052,t,false,false,ct,5.526212,0,142,0,true,head,false,false,0,0,t,false,133527,-2382.2197,586.39606,-76.21875,18,BombsiteB,meyern,76561198195642865,ct,ak47,17293822569163063303,50929720047,"",0,11
false,-837.567,22.532549,-167.68286,74.0,Catwalk,HUASOPEEK,76561198319723208,ct,-1541.4083,682.83936,-47.96875,98,Apartments,dgt,76561198216891576,ct,false,false,ct,18.512707,0,26,0,false,left_leg,false,false,0,0,t,false,134421,-2234.261,489.3617,-167.96875,3,BombsiteB,xiELO,76561198141272052,t,ak47,17293822569114501127,52403717539,"",0,11
false,,,,,,,,,-2035.0702,697.61755,-47.96875,51,Apartments,xiELO,76561198141272052,t,false,false,ct,6.136611,6,178,0,true,head,false,false,0,0,t,false,141075,-1860.6796,584.93695,-167.96875,100,BombsiteB,max,76561198242950384,ct,deagle,17293822569105129473,51518638862,"",0,12
false,,,,,,,,,-818.8138,182.46323,-173.28699,56,Underpass,luchov,76561198067722198,ct,false,false,ct,30.102972,17,79,0,true,head,false,false,0,0,t,false,141233,-1955.4536,520.47003,-165.71875,54,BombsiteB,zweih,76561198210626739,t,m4a1_silencer,17293822569167192124,52258558415,"",0,12
false,-1110.5826,411.0927,-79.96875,40.0,Apartments,HObbit,76561198028292758,t,-1987.8813,303.69504,-159.96875,78,BombsiteB,Jame,76561198036125584,t,false,false,ct,31.452398,0,21,0,false,left_leg,false,false,0,0,t,false,141680,-752.1152,226.44449,-172.17822,7,Underpass,luchov,76561198067722198,ct,galilar,17293822569116860429,49363953501,"",0,12
false,,,,,,,,,-736.05194,106.320786,-143.96875,77,Catwalk,dgt,76561198216891576,ct,false,false,ct,32.188675,5,26,0,false,stomach,false,false,0,0,t,false,141740,-1983.926,327.48608,-159.96875,3,BombsiteB,Jame,76561198036125584,t,m4a1,17293822569122955280,51508198279,"",0,12
false,,,,,,,,,-2032.4971,697.5903,-47.96875,100,Apartments,slaxejezzz,76561198356252021,t,false,false,ct,37.401386,3,21,0,false,right_arm,false,false,0,0,t,false,141786,-741.6401,-2.4310303,-143.96875,13,Catwalk,HUASOPEEK,76561198319723208,ct,galilar,17293822569154478093,41265223485,"",0,12
false,,,,,,,,,-2012.5726,685.2301,-47.27533,78,Apartments,slaxejezzz,76561198356252021,t,false,false,ct,36.431843,3,21,0,false,chest,false,false,0,0,t,false,141944,-737.6128,35.19638,-143.96875,5,Catwalk,dgt,76561198216891576,ct,galilar,17293822569154478093,41265223485,"",0,12
false,-1938.3866,259.38617,-159.96875,38.0,BombsiteB,HObbit,76561198028292758,t,-2338.4417,122.322685,-167.96875,22,BombsiteB,xiELO,76561198141272052,t,false,false,ct,5.127261,6,181,0,true,head,false,false,0,0,t,false,143621,-2353.4094,-76.94116,-165.87122,51,BombsiteB,meyern,76561198195642865,ct,deagle,17293822569105129473,51518638862,"",0,12
false,,,,,,,,,5.8636503,-1922.7418,-167.96875,100,BombsiteA,slaxejezzz,76561198356252021,ct,false,false,ct,9.913337,0,130,0,true,head,false,false,0,0,t,false,158022,-161.65857,-2278.3176,-167.96875,82,BombsiteA,HUASOPEEK,76561198319723208,t,usp_silencer,17293822569196486717,52565656904,"",0,13
false,,,,,,,,,125.26988,-1992.4985,-167.96875,65,PalaceInterior,luchov,76561198067722198,t,false,false,ct,2.0585904,0,117,0,true,head,false,false,0,0,t,false,158156,89.49313,-1922.2043,-167.96875,100,BombsiteA,slaxejezzz,76561198356252021,ct,glock,17293822569181872132,52158655151,"",0,13
false,,,,,,,,,-1235.2593,-1234.1805,-167.96875,100,CTSpawn,Jame,76561198036125584,ct,false,false,ct,41.125637,0,103,0,true,head,false,false,0,0,t,false,158195,67.114845,-2188.1753,-39.96875,100,PalaceInterior,meyern,76561198195642865,t,usp_silencer,17293822569174925373,24292220794,"",0,13
false,,,,,,,,,-885.66187,-2312.64,-168.41467,86,BombsiteA,max,76561198242950384,t,false,false,ct,17.67193,0,95,0,true,head,false,false,0,0,t,false,159607,-1565.5453,-2191.0732,-252.24121,89,CTSpawn,zweih,76561198210626739,ct,glock,17293822569102704644,0,"",0,13
false,,,,,,,,,-766.1804,-569.17883,-266.3542,100,Middle,xiELO,76561198141272052,ct,false,false,ct,14.524366,0,125,0,true,head,false,false,0,0,t,false,159962,-550.9276,-1089.5223,-167.96875,85,Connector,dgt,76561198216891576,t,usp_silencer,17293822569135734845,45080861782,"",0,13
false,,,,,,,,,-608.258,-921.4168,-223.25665,100,Middle,xiELO,76561198141272052,ct,false,false,ct,20.990236,0,120,0,true,head,false,false,0,0,t,false,160165,-795.8075,-1721.3046,-151.9339,84,BombsiteA,max,76561198242950384,t,usp_silencer,17293822569135734845,45080861782,"",0,13
false,,,,,,,,,-206.03815,-1954.5519,-167.96875,30,BombsiteA,luchov,76561198067722198,t,false,false,ct,20.187962,0,92,0,true,head,false,false,0,0,t,false,160214,-889.90857,-2357.566,-167.96875,40,CTSpawn,HObbit,76561198028292758,ct,glock,17293822569181872132,52158655151,"",0,13
false,,,,,,,,,-150.58484,-2100.2373,-167.96875,30,BombsiteA,luchov,76561198067722198,t,false,false,ct,12.273357,0,102,0,true,head,false,false,0,0,t,false,160499,-487.8402,-1760.0342,-177.11145,100,BombsiteA,xiELO,76561198141272052,ct,glock,17293822569181872132,52158655151,"",0,13
false,,,,,,,,,-114.03473,-2216.203,-167.96875,30,BombsiteA,luchov,76561198067722198,t,false,false,ct,12.713107,0,102,0,true,head,false,false,0,0,t,false,160864,-371.49683,-1785.5966,-167.96875,88,BombsiteA,Jame,76561198036125584,ct,glock,17293822569181872132,52158655151,"",0,13
false,,,,,,,,,273.65823,-1470.0488,-175.96875,79,TRamp,HUASOPEEK,76561198319723208,t,false,false,ct,13.013052,0,90,0,true,head,false,false,1,0,t,false,164191,-50.51001,-1866.725,-167.96875,71,BombsiteA,HObbit,76561198028292758,ct,galilar,17293822569130754061,51740217357,"",0,14
false,-302.4596,-1609.2001,-167.96875,79.0,BombsiteA,HUASOPEEK,76561198319723208,t,26.760923,-2311.4712,-39.96875,79,PalaceInterior,dgt,76561198216891576,t,false,false,ct,6.724763,0,29,0,false,chest,false,false,0,0,t,true,164962,73.87669,-2050.7773,-39.96875,25,PalaceInterior,xiELO,76561198141272052,ct,galilar,17293822569130754061,38831224886,"",0,14
