assistedflash,assister_X,assister_Y,assister_Z,assister_active_weapon,assister_armor,assister_flash_duration,assister_flash_max_alpha,assister_has_helmet,assister_health,assister_is_airborne,assister_place,assister_name,assister_shots_fired,assister_spotted,assister_steamid,assister_side,assister_velocity_X,assister_velocity_Y,assister_velocity_Z,attacker_X,attacker_Y,attacker_Z,attacker_active_weapon,attacker_armor,attacker_flash_duration,attacker_flash_max_alpha,attacker_has_helmet,attacker_health,attacker_is_airborne,attacker_place,attacker_name,attacker_shots_fired,attacker_spotted,attacker_steamid,attacker_side,attacker_velocity_X,attacker_velocity_Y,attacker_velocity_Z,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_active_weapon,victim_armor,victim_flash_duration,victim_flash_max_alpha,victim_has_helmet,victim_health,victim_is_airborne,victim_place,victim_name,victim_shots_fired,victim_spotted,victim_steamid,victim_side,victim_velocity_X,victim_velocity_Y,victim_velocity_Z,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,-591.3614,-2367.0574,-169.00177,16777215.0,0.0,0.0,255.0,false,0.0,false,BombsiteA,HUASOPEEK,2.0,false,76561198319723208,ct,0.0,0.0,0.0,-624.5105,-2469.0586,-167.96875,11944138,100,0.0,255.0,true,100,false,BombsiteA,max,0,false,76561198242950384,ct,17.765625,-10.546875,0.0,false,false,ct,31.047443,4,22,0,false,chest,false,false,0,0,t,false,43880,19.247873,-1427.4111,-171.49341,10814093,79,0.0,255.0,true,7,false,BombsiteA,xiELO,0,false,76561198141272052,t,175.55115,-6.9375,-17.554688,m4a1_silencer,17293822569167192124,52258558415,"",0,3
false,,,,,,,,,,,,,,,,,,,,-761.90906,-2374.561,-175.91467,11944138,90,0.0,255.0,true,15,false,BombsiteA,max,8,false,76561198242950384,ct,-14.042969,16.453125,-2.0859375,false,false,ct,34.279564,4,22,0,false,chest,false,false,0,0,t,false,44074,245.56334,-1476.5535,-175.96875,7701137,84,0.0,255.0,true,22,false,PalaceInterior,slaxejezzz,9,true,76561198356252021,t,-18.75586,21.164062,0.0,m4a1_silencer,17293822569167192124,52258558415,"",0,3
false,,,,,,,,,,,,,,,,,,,,-1548.3424,863.9374,-7.96875,7701137,90,0.0,255.0,true,100,false,Apartments,max,4,true,76561198242950384,ct,61.0625,0.0,0.0,false,false,ct,5.439616,4,27,0,false,chest,false,false,0,0,t,false,56588,-1458.1143,669.84314,-47.96875,6472081,88,0.0,255.0,false,18,false,Apartments,slaxejezzz,1,true,76561198356252021,t,20.789062,9.84375,0.0,ak47,17293822569144582151,52467896681,"",0,4
false,,,,,,,,,,,,,,,,,,,,-1431.5148,677.7119,-47.96875,8257926,99,0.0,255.0,false,90,false,Apartments,xiELO,0,false,76561198141272052,t,-69.03125,-58.527344,0.0,false,false,ct,5.9409456,1,45,0,false,chest,false,false,0,0,t,false,56689,-1583.4725,854.6526,-15.980164,7701137,88,0.0,255.0,true,16,false,Apartments,max,8,false,76561198242950384,ct,5.5625,5.3515625,0.0,deagle,17293822569105129473,51518638862,"",0,4
false,,,,,,,,,,,,,,,,,,,,-2140.6973,831.9156,-123.20923,6718099,100,2.7646484,255.0,true,100,false,Truck,luchov,2,false,76561198067722198,ct,-0.203125,-2.0195312,-0.203125,false,false,ct,2.690988,5,34,0,false,stomach,false,false,0,0,t,false,56970,-2070.7864,821.86487,-44.27118,7701137,91,0.0,255.0,false,34,false,Apartments,xiELO,0,false,76561198141272052,t,-46.296875,-3.5195312,11.574219,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,,,,,,,,,,,,-1934.3048,764.6734,-47.96875,10666934,70,0.0,255.0,true,100,false,Apartments,HObbit,7,true,76561198028292758,t,-6.9296875,-42.589844,0.0,false,false,ct,6.521044,16,110,0,true,head,false,false,0,0,t,false,57233,-2175.4502,803.0238,-126.24994,6718099,94,2.1926913,255.0,true,52,false,Truck,luchov,6,true,76561198067722198,ct,-8.53125,-45.640625,-6.5742188,ak47,17293822569146941447,39085812900,"",0,4
false,,,,,,,,,,,,,,,,,,,,-2165.1897,-198.20056,-167.24042,6783977,66,0.0,255.0,true,100,false,BombsiteB,dgt,2,false,76561198216891576,ct,0.0,0.0,0.0,false,false,ct,24.787605,18,87,0,true,head,false,false,0,0,t,false,57253,-1934.818,741.38904,-47.96875,10666934,66,0.0,255.0,true,79,false,Apartments,HObbit,11,true,76561198028292758,t,0.9921875,-19.761719,0.0,m4a1,17293822569122955280,51508198279,"",0,4
false,,,,,,,,,,,,,,,,,,,,-2142.199,-115.969604,-168.03864,6783977,60,0.0,255.0,true,47,false,BombsiteB,dgt,8,true,76561198216891576,ct,-5.765625,1.2773438,0.01171875,false,false,ct,22.125965,4,21,0,false,chest,false,false,0,0,t,false,57487,-1969.1371,729.2864,-47.96875,10666934,83,0.0,255.0,false,7,false,Apartments,Jame,4,true,76561198036125584,t,-8.015625,1.6914062,0.0,m4a1,17293822569122955280,51508198279,"",0,4
false,,,,,,,,,,,,,,,,,,,,-2267.7295,549.83307,-161.84564,6718099,100,0.0,255.0,false,100,false,BombsiteB,zweih,0,false,76561198210626739,t,35.875,-1.0585938,0.57421875,false,false,ct,28.594461,15,106,0,true,head,false,false,0,0,t,false,57586,-2300.641,-575.42456,-167.96875,6586776,100,0.0,255.0,true,100,false,Shop,meyern,1,false,76561198195642865,ct,6.484375,-1.3632812,0.0,ak47,17293822569114501127,52403717539,"",0,4
false,-1969.1371,729.2864,-47.96875,16777215.0,0.0,0.0,255.0,false,0.0,false,Apartments,Jame,4.0,true,76561198036125584,t,0.0,0.0,0.0,-1695.7223,742.2519,-47.96875,6718099,100,0.0,255.0,false,100,false,Apartments,zweih,0,true,76561198210626739,t,56.304688,27.007812,0.0,false,false,ct,23.84022,15,107,0,true,head,false,false,0,0,t,false,58093,-2350.038,80.600716,-161.56482,6783977,60,0.0,255.0,true,47,false,BombsiteB,dgt,0,true,76561198216891576,ct,-18.359375,17.31836,15.0234375,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,,,,,,,,,,,,-2539.1052,332.47113,-167.96875,6718099,82,0.0,255.0,false,5,false,BombsiteB,zweih,2,false,76561198210626739,t,1.140625,6.9804688,0.0,false,false,ct,33.693302,4,33,0,false,stomach,false,false,0,0,t,false,59188,-1227.5814,133.55821,-168.86548,6389931,92,0.0,255.0,true,28,false,Catwalk,HUASOPEEK,0,false,76561198319723208,ct,10.4375,65.60449,-5.953125,ak47,17293822569114501127,52403717539,"",0,4
false,,,,,,,,,,,,,,,,,,,,-622.7296,-345.18713,-160.5304,16122434,100,0.0,255.0,true,100,false,Catwalk,HObbit,3,false,76561198028292758,t,18.480469,-0.5078125,-8.2109375,false,false,ct,22.620872,4,33,0,false,stomach,false,false,0,0,t,true,62010,-647.8959,-1235.1698,-167.96875,12714608,92,0.0,255.0,false,33,false,Connector,dgt,0,false,76561198216891576,ct,-55.554688,5.609375,0.0,ak47,17293822569170534407,26522352291,"",0,5
false,-1929.192,615.4799,-167.96875,6439517.0,100.0,0.0,255.0,false,100.0,false,BombsiteB,max,9.0,false,76561198242950384,ct,38.453125,49.195312,0.0,-1248.2621,409.44214,-167.96875,12059284,100,0.0,255.0,false,100,false,Catwalk,luchov,5,true,76561198067722198,ct,-0.6640625,-4.5703125,0.0,false,false,ct,14.925149,5,24,0,false,chest,false,false,0,0,t,false,62279,-1830.9374,485.4223,-167.96875,2933661,84,0.0,255.0,true,22,false,BombsiteB,zweih,0,true,76561198210626739,t,-13.1640625,-30.611328,0.0,m4a1_silencer,17293822569167192124,52258558415,"",0,5
false,,,,,,,,,,,,,,,,,,,,-1561.38,797.977,-47.96875,6586776,100,0.0,255.0,true,100,false,Apartments,Jame,0,true,76561198036125584,t,0.0,0.0,0.0,false,false,ct,37.852924,1,108,0,false,chest,false,false,0,0,t,false,62411,-2002.3698,-621.9004,-167.96875,3212209,100,0.0,255.0,false,100,false,Shop,meyern,0,true,76561198195642865,ct,-10.359375,2.9960938,0.0,awp,17293822569102704649,0,"",0,5
false,,,,,,,,,,,,,,,,,,,,215.65578,-350.21954,-167.13556,4391175,91,0.0,255.0,false,19,false,TopofMid,luchov,3,true,76561198067722198,ct,-4.6376953,0.546875,-0.00390625,false,false,ct,15.560553,4,19,0,false,chest,false,false,0,0,t,false,74958,288.803,251.89813,-261.31104,13287514,48,0.0,255.0,true,1,false,SideAlley,HObbit,3,true,76561198028292758,t,-32.714844,4.5585938,-1.0390625,famas,17293822569102704650,0,"",0,6
false,-1017.95026,-2332.8381,-167.96875,2933661.0,100.0,0.0,255.0,false,100.0,false,CTSpawn,dgt,7.0,true,76561198216891576,ct,0.0,0.0,0.0,-629.6519,-2400.0522,-167.96875,4391175,91,0.0,255.0,false,19,false,BombsiteA,luchov,3,true,76561198067722198,ct,4.3398438,-9.875,0.0,false,false,ct,20.231342,4,19,0,false,chest,false,false,0,0,t,true,77936,85.29585,-2073.6836,-39.96875,4408207,47,0.0,255.0,true,1,false,PalaceInterior,xiELO,8,true,76561198141272052,t,-9.624023,21.15625,0.0,famas,17293822569102704650,0,"",0,6
false,-629.57886,-2400.218,-167.96875,4391175.0,91.0,0.0,255.0,false,19.0,false,BombsiteA,luchov,4.0,true,76561198067722198,ct,4.6757812,-10.609375,0.0,28.501278,-1951.4485,-167.96875,12714608,100,0.0,255.0,true,100,false,BombsiteA,HUASOPEEK,3,false,76561198319723208,ct,0.0,0.0,0.0,false,false,ct,8.098729,4,22,0,false,chest,false,false,0,0,t,false,77937,-144.19507,-2219.1216,-167.96875,2458556,47,0.0,255.0,true,10,false,BombsiteA,slaxejezzz,4,true,76561198356252021,t,-3.3984375,20.734375,0.0,m4a1,17293822569102704656,0,"",0,6
false,,,,,,,,,,,,,,,,,,,,-877.7794,-1381.9961,-167.96875,3212209,100,0.0,255.0,false,100,false,Jungle,meyern,0,false,76561198195642865,ct,-32.367188,-23.71875,0.0,false,false,ct,29.848001,1,109,0,false,chest,false,false,0,0,t,false,78004,68.84942,-2060.5095,-39.96875,16122434,100,0.0,255.0,true,100,false,PalaceInterior,zweih,0,false,76561198210626739,t,-7.67334,213.9375,0.0,awp,17293822569120989193,45150629644,"",0,6
false,,,,,,,,,,,,,,,,,,,,-862.04114,-422.98376,-163.07996,2458556,100,0.0,255.0,true,100,false,Underpass,max,3,true,76561198242950384,ct,0.0,0.0,0.0,false,false,ct,13.304812,15,109,0,true,head,false,false,0,0,t,false,88955,-479.28186,-764.68176,-258.83923,9699515,91,0.0,255.0,true,19,false,Middle,zweih,2,true,76561198210626739,t,20.546875,26.082031,-2.2929688,ak47,17293822569144582151,52467896681,"",0,7
false,,,,,,,,,,,,,,,,,,,,50.40163,-1431.3513,-174.60876,16122434,90,0.0,255.0,true,12,false,PalaceInterior,HUASOPEEK,4,true,76561198319723208,ct,2.9797363,-0.1328125,-0.296875,false,false,ct,11.966073,15,109,0,true,head,false,false,0,0,t,false,89079,23.368149,-1884.737,-39.96875,9028341,94,0.0,255.0,true,46,false,Scaffolding,HObbit,7,true,76561198028292758,t,-20.299194,1.09375,0.0,ak47,17293822569170534407,26522352291,"",0,7
false,23.077166,-1884.7207,-39.96875,16777215.0,0.0,0.0,255.0,false,0.0,false,Scaffolding,HObbit,7.0,true,76561198028292758,t,0.0,0.0,0.0,-18.914429,-1894.0948,-39.96875,10486475,100,0.0,255.0,true,100,false,Scaffolding,slaxejezzz,0,false,76561198356252021,t,-12.402344,89.90625,0.0,false,false,ct,12.664199,3,27,0,false,chest,false,false,0,0,t,false,89194,110.66876,-1434.4978,-175.96875,16122434,90,0.0,255.0,true,12,false,PalaceInterior,HUASOPEEK,1,false,76561198319723208,ct,-95.035645,-109.34375,0.0,ak47,17293822569144582151,52467896681,"",0,7
false,,,,,,,,,,,,,,,,,,,,-709.3859,-2201.6355,-179.96875,3212209,100,0.0,255.0,true,100,false,BombsiteA,meyern,0,false,76561198195642865,ct,3.1992188,-7.09375,0.0,false,false,ct,19.52634,1,138,0,false,stomach,false,false,0,0,t,false,89197,-17.954407,-1890.9749,-39.96875,10486475,100,0.0,255.0,true,100,false,Scaffolding,slaxejezzz,1,true,76561198356252021,t,32.347656,56.546875,0.0,awp,17293822569120989193,45150629644,"",0,7
false,,,,,,,,,,,,,,,,,,,,-781.2557,-918.63715,-167.96875,3212209,100,0.0,255.0,true,100,false,Connector,meyern,0,false,76561198195642865,ct,0.0,0.0,0.0,false,false,ct,36.90147,5,435,0,true,head,false,false,0,0,t,false,94162,399.17325,-72.6272,-182.94275,6586776,59,0.0,255.0,true,84,false,TopofMid,Jame,0,false,76561198036125584,t,-8.205078,6.15625,-2.09375,awp,17293822569120989193,45150629644,"",0,8
false,,,,,,,,,,,,,,,,,,,,396.95358,180.35051,-249.72882,2933661,90,0.0,255.0,true,84,false,SideAlley,dgt,0,false,76561198216891576,ct,-50.277344,1.1806641,-7.6484375,false,false,ct,8.337248,9,62,0,true,head,false,false,1,0,t,false,97001,408.98526,503.356,-263.2079,6095378,62,0.0,255.0,true,41,false,SideAlley,HObbit,0,false,76561198028292758,t,-12.865234,-157.92383,-0.9453125,ak47,17293822569114501127,52403717539,"",0,8
false,-2494.553,220.03172,-167.7666,2458556.0,100.0,0.0,255.0,true,100.0,false,BombsiteB,max,0.0,false,76561198242950384,ct,0.0,0.0,0.0,-894.64557,-458.14612,-93.96875,4408207,100,0.0,255.0,true,100,false,Catwalk,luchov,5,true,76561198067722198,ct,7.1757812,-13.7421875,0.0,false,false,ct,6.5207996,16,110,0,true,head,false,false,0,0,t,false,97603,-1027.6371,-549.7866,-287.96875,15336332,61,0.0,255.0,true,34,false,Middle,xiELO,1,true,76561198141272052,t,-19.960938,36.09375,0.0,ak47,17293822569163063303,50929720047,"",0,8
true,-888.6452,-2301.63,-168.6388,15336332.0,100.0,0.0,255.0,true,100.0,false,BombsiteA,HUASOPEEK,0.0,false,76561198319723208,ct,-24.375,-113.859375,7.2265625,-799.9239,-916.2116,-167.96875,3212209,100,0.0,255.0,true,100,false,Middle,meyern,0,false,76561198195642865,ct,0.0,0.0,0.0,false,false,ct,30.952333,1,109,0,false,chest,false,false,0,0,t,true,104629,193.98076,-216.6206,-79.9375,6586776,100,3.5907536,255.0,false,100,false,TopofMid,Jame,0,false,76561198036125584,t,-0.39453125,1.1640625,0.0,awp,17293822569120989193,45150629644,"",0,9
false,-1033.6323,-716.3245,-209.9375,10699640.0,81.0,0.0,255.0,true,71.0,false,Middle,zweih,2.0,false,76561198210626739,t,-2.2109375,0.7421875,0.0,-1039.9619,-698.1674,-263.96875,9896574,93,0.0,255.0,true,90,false,Middle,xiELO,0,false,76561198141272052,t,0.0,0.0,0.0,false,false,ct,10.660662,13,91,0,true,head,false,false,0,0,t,false,107652,-892.8223,-321.5454,-166.16858,4408207,94,0.0,255.0,true,46,false,Underpass,luchov,0,true,76561198067722198,ct,2.5234375,37.875,-1.5546875,galilar,17293822569116860429,49363953501,"",0,9
false,,,,,,,,,,,,,,,,,,,,-689.1993,-1080.54,-191.69507,2933661,90,0.0,255.0,true,100,false,Connector,dgt,4,false,76561198216891576,ct,31.347656,-7.75,3.875,false,false,ct,18.78813,3,27,0,false,chest,false,false,0,0,t,true,107931,-520.3264,-360.88806,-167.3125,10502724,91,0.0,255.0,true,19,false,Catwalk,HObbit,4,false,76561198028292758,t,-22.226562,4.859375,-0.703125,ak47,17293822569114501127,52403717539,"",0,9
false,,,,,,,,,,,,,,,,,,,,-2216.2612,-240.00012,-163.98212,10699640,81,0.0,255.0,true,71,false,BombsiteB,zweih,1,true,76561198210626739,t,45.890625,-19.585938,2.7929688,false,false,ct,23.280832,3,26,0,false,chest,false,false,0,0,t,false,109010,-1930.6954,629.95624,-167.96875,2458556,90,0.0,255.0,true,24,false,BombsiteB,max,0,true,76561198242950384,ct,-96.02344,-0.875,0.0,ak47,17293822569170534407,26522352291,"",0,9
false,,,,,,,,,,,,,,,,,,,,-1872.0377,-304.0589,-167.96875,2933661,90,0.0,255.0,true,100,false,Shop,dgt,3,false,76561198216891576,ct,0.0,0.0,0.0,false,false,ct,7.1655827,2,14,0,false,chest,false,false,1,0,t,false,109787,-2124.9727,-181.27783,-168.28564,10699640,59,0.0,255.0,true,1,false,BombsiteB,zweih,0,false,76561198210626739,t,4.390625,-46.867188,3.1992188,ak47,17293822569114501127,52403717539,"",0,9
false,,,,,,,,,,,,,,,,,,,,-1890.2737,629.05884,-167.96875,9896574,89,0.0,255.0,true,57,false,BombsiteB,xiELO,4,true,76561198141272052,t,12.203125,-4.8945312,0.0,false,false,ct,18.73888,13,90,0,true,head,false,false,0,0,t,false,110278,-2160.1648,-57.433167,-167.94641,15336332,93,0.0,255.0,true,44,false,BombsiteB,HUASOPEEK,3,true,76561198319723208,ct,0.0,0.0,0.0,galilar,17293822569116860429,49363953501,"",0,9
