health,place,side,Y,X,Z,tick,steamid,name,round_num
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1024,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1024,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1024,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1024,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1025,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1025,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1025,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1025,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1025,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1025,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1025,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1025,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1025,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1025,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1026,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1026,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1026,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1026,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1026,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1026,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1026,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1026,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1026,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1026,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1027,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1027,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1027,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1027,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1027,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1027,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1027,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1027,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1027,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1027,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1028,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1028,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1028,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1028,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1028,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1028,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1028,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1028,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1028,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1028,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1029,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1029,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1029,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1029,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1029,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1029,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1029,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1029,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1029,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1029,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1030,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1030,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1030,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1030,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1030,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1030,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1030,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1030,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1030,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1030,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1031,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1031,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1031,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1031,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1031,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1031,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1031,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1031,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1031,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1031,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1032,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1032,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1032,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1032,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1032,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1032,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1032,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1032,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1032,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1032,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1033,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1033,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1033,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1033,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1033,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1033,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1033,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1033,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1033,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1033,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1034,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1034,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1034,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1034,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1034,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1034,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1034,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1034,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1034,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1034,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1035,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1035,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1035,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1035,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1035,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1035,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1035,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1035,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1035,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1035,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1036,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1036,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1036,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1036,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1036,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1036,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1036,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1036,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1036,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1036,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1037,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1037,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1037,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1037,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1037,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1037,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1037,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1037,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1037,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1037,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1038,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1038,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1038,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1038,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1038,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1038,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1038,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1038,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1038,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1038,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1039,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1039,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1039,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1039,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1039,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1039,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1039,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1039,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1039,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1039,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1040,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1040,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1040,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1040,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1040,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1040,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1040,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1040,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1040,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1040,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1041,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1041,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1041,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1041,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1041,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1041,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1041,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1041,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1041,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1041,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1042,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1042,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1042,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1042,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1042,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1042,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1042,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1042,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1042,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1042,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1043,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1043,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1043,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1043,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1043,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1043,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1043,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1043,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1043,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1043,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1044,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1044,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1044,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1044,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1044,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1044,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1044,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1044,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1044,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1044,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1045,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1045,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1045,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1045,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1045,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1045,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1045,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1045,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1045,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1045,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1046,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1046,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1046,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1046,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1046,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1046,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1046,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1046,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1046,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1046,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1047,76561198356252021,slaxejezzz,1
100,CTSpawn,ct,-1800.0,-1776.0,-263.96875,1047,76561198319723208,HUASOPEEK,1
100,TSpawn,t,32.0,1136.0,-164.78845,1047,76561198210626739,zweih,1
100,CTSpawn,ct,-1976.0,-1776.0,-263.96875,1047,76561198242950384,max,1
100,TSpawn,t,-64.0,1136.0,-164.49915,1047,76561198028292758,HObbit,1
100,TSpawn,t,-160.0,1136.0,-164.43054,1047,76561198141272052,xiELO,1
100,CTSpawn,ct,-1896.0,-1720.0,-267.6023,1047,76561198216891576,dgt,1
100,CTSpawn,ct,-1976.0,-1656.0,-267.4583,1047,76561198067722198,luchov,1
100,CTSpawn,ct,-1800.0,-1656.0,-267.20642,1047,76561198195642865,meyern,1
100,TSpawn,t,-307.0,1216.0,-164.81482,1047,76561198036125584,Jame,1
100,TSpawn,t,32.0,1296.0,-167.96875,1048,76561198356252021,slaxejezzz,1
