name,role,team,hltv,major_wins,win,second,semi,quarter,no_major_teammates,no_teammates,no_events
JT,Opener,Liquid,0.88,0,0,1,3,4,0,0,27
EliGE,Opener,Liquid,1.05,0,0,0,0,0,0,0,0
malbsMd,Support,Liquid,1.02,0,0,0,0,0,0,0,0
gr1ks,AWPer,BIG,0.85,0,0,0,0,0,0,0,0
tabseN,Closer,BIG,1.08,0,0,0,1,5,0,0,21
blameF,Opener,BIG,0.88,0,0,0,0,0,0,0,1
JDC,Opener,BIG,0.88,0,0,0,0,0,0,0,0
faveN,Support,BIG,0.88,0,0,0,0,0,0,0,0
headtr1ck,AWPer,Inner Circle,1.02,0,0,0,0,0,0,0,0
zeRRoFIX,Closer,Inner Circle,0.75,0,0,0,0,0,0,0,0
onic,Opener,Inner Circle,0.86,0,0,0,0,0,0,0,2
Dawy,Opener,Inner Circle,0.88,0,0,0,0,0,0,0,0
cptkurtka023,Support,Inner Circle,1.09,0,0,0,0,0,0,0,0
nqz,AWPer,MIBR,1.1,0,0,0,0,0,0,0,0
LNZ,Closer,MIBR,0.88,0,0,0,0,3,0,0,8
brnz4n,Opener,MIBR,0.96,0,0,0,0,0,0,0,0
insani,Opener,MIBR,1.1,0,0,0,0,0,0,0,0
venomzera,Support,MIBR,0.9,0,0,0,0,0,0,0,0
stavn,AWPer,Ninjas in Pyjamas,0.98,0,0,0,0,0,0,0,0
Snappi,Closer,Ninjas in Pyjamas,0.79,0,1,4,6,7,0,4,39
xKacpersky,Opener,Ninjas in Pyjamas,1.33,0,0,0,0,0,0,0,0
n0te,Opener,Ninjas in Pyjamas,0.89,0,0,0,0,0,0,0,0
sjuush,Support,Ninjas in Pyjamas,0.92,0,0,0,0,0,0,0,0
m1N1,AWPer,JiJieHao,0.79,0,0,0,0,0,0,0,0
Bibu,Closer,JiJieHao,0.91,0,0,0,0,0,0,0,0
sinnopsyy,Opener,JiJieHao,0.87,0,0,0,0,0,0,0,4
CacaNito,Opener,JiJieHao,1.05,0,0,0,0,0,0,0,0
0SAMAS,Support,JiJieHao,0.7,0,0,0,0,0,0,0,0
z4kr,AWPer,Lynn Vision,0.97,0,0,0,0,0,0,0,0
C4LLM3SU3,Closer,Lynn Vision,0.99,0,0,0,0,0,0,0,0
Westmelon,Opener,Lynn Vision,0.83,0,0,0,0,0,0,0,10
Starry,Opener,Lynn Vision,1.08,0,0,0,0,0,0,0,0
EmiliaQAQ,Support,Lynn Vision,0.94,0,0,0,0,0,0,0,0
MartinezSa,AWPer,HEROIC,1.05,0,0,0,0,0,0,0,0
nilo,Closer,HEROIC,0.98,0,0,0,0,0,0,0,0
Chr1zN,Opener,HEROIC,0.81,0,0,0,0,1,0,0,3
susp,Opener,HEROIC,0.93,0,0,0,0,0,0,0,0
Brollan,Support,HEROIC,0.97,0,1,4,9,4,0,4,20
slaxz-,AWPer,M80,0.87,0,0,0,0,0,0,0,0
s1n,Closer,M80,0.92,0,0,0,0,2,0,0,10
Swisher,Opener,M80,0.94,0,0,0,0,0,0,0,0
Lake,Opener,M80,0.94,0,0,0,0,0,0,0,0
JBa,Support,M80,0.9,0,0,0,0,0,0,0,0
maxxkor,AWPer,DENDELE,0.96,0,0,0,0,0,0,0,0
rdnzao,Closer,DENDELE,0.86,0,0,0,0,0,0,0,0
gafolo,Opener,DENDELE,0.69,0,0,0,0,0,0,0,1
doc,Opener,DENDELE,0.82,0,0,0,0,0,0,0,0
koala,Support,DENDELE,1.1,0,0,0,0,0,0,0,0
device,AWPer,100 Thieves,0.88,0,0,0,0,0,0,0,0
poiii,Closer,100 Thieves,0.7,0,0,0,0,0,0,0,0
Gizmy,Opener,100 Thieves,0.9,0,0,0,0,0,0,0,4
sirah,Opener,100 Thieves,0.65,0,0,0,0,0,0,0,0
rain,Support,100 Thieves,0.71,0,0,0,0,0,0,0,0
Jee,AWPer,TYLOO,0.83,0,0,0,0,0,0,0,0
Moseyuh,Closer,TYLOO,0.87,0,0,0,0,0,0,0,0
Mercury,Opener,TYLOO,0.86,0,0,0,0,2,0,0,7
JamYoung,Opener,TYLOO,1.07,0,0,0,0,0,0,0,0
Zero,Support,TYLOO,0.92,0,0,0,0,0,0,0,0
